candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
722,1930,trans_M2,001866,1,0,5,0,0.7212,0.04035942485853761,0.7212
723,1426,trans_M2,000859,2,2,6,5,0.72055952,0.7390360245452553,0.72055952
724,2983,trans_M3,001984,2,3,6,5,0.71918756,1.0166993937561188,0.71918756
725,802,trans_M1,001599,2,2,3,14,0.7190000000000001,1.0093658005863473,0.7190000000000001
726,949,trans_M1,001898,2,1,9,4,0.7182612399999999,0.5499763876990601,0.7182612399999999
727,1495,trans_M2,000991,3,2,11,17,0.71762828,1.8160473944083824,0.71762828
728,740,trans_M1,001474,2,1,3,14,0.7172042000000001,0.6747445578854179,0.7172042000000001
729,2913,trans_M3,001840,1,0,6,0,0.717,0.03964650715017699,0.717
730,2493,trans_M3,000994,4,1,13,16,0.71694824,1.002266593082152,0.71694824
731,2409,trans_M3,000835,5,3,15,7,0.7158588399999999,0.9696298043355744,0.7158588399999999
732,2824,trans_M3,001653,1,1,6,6,0.7148,0.26960093669874896,0.7148
733,1729,trans_M2,001463,1,0,4,14,0.7146,0.6472662338478677,0.7146
734,1860,trans_M2,001725,3,2,9,4,0.7135411600000001,0.9304524420862631,0.7135411600000001
735,715,trans_M1,001419,4,0,5,15,0.7131951200000001,0.7890922581788897,0.7131951200000001
736,1711,trans_M2,001419,3,0,4,15,0.71245512,0.7107154147571443,0.71245512
737,1628,trans_M2,001267,1,0,2,0,0.7124159999999999,0.1994471471091016,0.7124159999999999
738,783,trans_M1,001561,2,0,3,11,0.711,0.7125438414986334,0.711
739,499,trans_M1,000991,2,2,11,17,0.7103946800000001,1.6956182211578108,0.7103946800000001
740,336,trans_M1,000670,6,0,18,0,0.7103408000000001,0.8955304644797868,0.7103408000000001
741,754,trans_M1,001500,1,1,3,14,0.7092,0.6775402917414978,0.7092
742,1358,trans_M2,000725,5,0,17,1,0.7089889199999999,0.7286356045644148,0.7089889199999999
743,1945,trans_M2,001898,2,1,8,4,0.70771936,0.5499763876990601,0.70771936
744,376,trans_M1,000750,4,0,19,2,0.7073112,0.8978868797474429,0.7073112
745,314,trans_M1,000635,7,0,19,0,0.7068515200000001,0.9016617834977084,0.7068515200000001
746,1328,trans_M2,000664,6,0,16,0,0.70660432,0.8551686732102347,0.70660432
747,1315,trans_M2,000645,6,0,16,0,0.70580804,0.9017253202809936,0.70580804
748,2368,trans_M3,000750,3,0,16,2,0.7056824800000001,0.7279671626778473,0.7056824800000001
749,986,trans_M1,001975,2,1,9,4,0.70567688,0.5508773929263149,0.70567688
750,1212,trans_M2,000445,4,0,7,2,0.70537084,0.6728916614697514,0.70537084
751,1715,trans_M2,001425,2,0,4,16,0.70511136,0.5579389178931631,0.70511136
752,1983,trans_M2,001977,2,1,7,4,0.7041376799999999,0.5484612791385703,0.7041376799999999
753,341,trans_M1,000680,6,0,17,1,0.70270064,0.7959393899858078,0.70270064
754,798,trans_M1,001589,2,2,2,13,0.7024,1.0107645995024344,0.7024
755,365,trans_M1,000729,5,0,19,0,0.70227616,0.8268388603908834,0.70227616
756,333,trans_M1,000665,4,0,17,0,0.70194552,0.7252106033134932,0.70194552
757,922,trans_M1,001840,2,1,10,4,0.7017262000000001,0.5498837478359277,0.7017262000000001
758,868,trans_M1,001730,2,2,6,4,0.7013893199999999,0.6706337730026881,0.7013893199999999
759,733,trans_M1,001463,2,0,5,14,0.6992,0.6472662338478676,0.6992
760,1947,trans_M2,001905,2,0,8,2,0.69914336,0.35244860342662065,0.69914336
761,2311,trans_M3,000645,6,0,16,0,0.6978845599999999,0.7879692417432975,0.6978845599999999
762,2355,trans_M3,000727,5,0,18,1,0.69749608,0.7288065041116991,0.69749608
763,961,trans_M1,001922,1,0,6,0,0.6972,0.039275889937924885,0.6972
764,1981,trans_M2,001973,2,1,8,4,0.6964999199999999,0.5509009797650818,0.6964999199999999
765,915,trans_M1,001830,2,1,9,4,0.69496252,0.552009100671953,0.69496252
766,222,trans_M1,000459,3,0,6,4,0.69454204,1.225577225377014,0.69454204
767,2900,trans_M3,001811,1,1,8,1,0.6942376,0.3078853015652553,0.6942376
768,320,trans_M1,000648,7,0,17,0,0.6935446799999999,0.9909236687688516,0.6935446799999999
769,1975,trans_M2,001962,3,1,9,4,0.6929511600000001,0.8277178566032128,0.6929511600000001
770,686,trans_M1,001366,2,0,8,3,0.6917157600000001,0.323998383682459,0.6917157600000001
771,951,trans_M1,001905,2,1,9,4,0.69109332,0.5520414206432042,0.69109332
772,1985,trans_M2,001979,2,1,9,4,0.68920872,0.5508020848173163,0.68920872
773,749,trans_M1,001490,1,1,10,15,0.6892,0.5937556061490473,0.6892
774,1686,trans_M2,001375,1,0,7,0,0.6882,0.15646148866891044,0.6882
775,2798,trans_M3,001609,2,2,3,15,0.6868000000000001,0.8491928693613012,0.6868000000000001
776,990,trans_M1,001980,2,0,7,4,0.6867473999999999,0.3515149147338793,0.6867473999999999
777,1864,trans_M2,001730,2,2,9,5,0.6854708,0.6459867273456147,0.6854708
778,2533,trans_M3,001080,2,5,5,13,0.6848,1.491372868761374,0.6848
779,512,trans_M1,001019,1,0,10,12,0.6842,0.6224855836802194,0.6842
780,2980,trans_M3,001979,2,1,6,4,0.6833086,0.5508020848173163,0.6833086
781,1948,trans_M2,001906,2,2,9,4,0.6818790399999999,0.7495869101694977,0.6818790399999999
782,2722,trans_M3,001456,3,0,9,14,0.6808627599999999,0.39800298991720384,0.6808627599999999
783,2371,trans_M3,000760,4,0,15,1,0.6798010400000001,0.7083324631479625,0.6798010400000001
784,1360,trans_M2,000728,5,0,18,1,0.67845748,0.729353542454231,0.67845748
785,237,trans_M1,000485,1,2,10,6,0.6780364799999999,0.7091800820386953,0.6780364799999999
786,716,trans_M1,001420,5,0,6,15,0.67785328,0.9732527994913831,0.67785328
787,985,trans_M1,001973,2,1,7,4,0.67755928,0.5509009797650818,0.67755928
788,1730,trans_M2,001464,2,0,2,13,0.6750982400000001,0.37882711974662586,0.6750982400000001
789,1745,trans_M2,001490,1,2,4,15,0.6744,1.0683927194885565,0.6744
790,2367,trans_M3,000749,2,0,13,2,0.6744,1.0983186534845562,0.6744
791,1407,trans_M2,000824,2,2,14,5,0.672958,1.2277215485324469,0.672958
792,2887,trans_M3,001785,1,0,8,1,0.6726896000000001,0.04018481545486533,0.6726896000000001
793,806,trans_M1,001607,2,2,3,14,0.6719999999999999,1.0097063567237612,0.6719999999999999
794,2508,trans_M3,001027,2,1,10,9,0.6715838799999999,0.8569960340994356,0.6715838799999999
795,2850,trans_M3,001708,2,2,8,3,0.67066256,0.6703862746792341,0.67066256
796,2312,trans_M3,000648,2,0,12,0,0.6704,0.45069335777114833,0.6704
797,1372,trans_M2,000750,3,0,16,2,0.67021816,0.7279671626778473,0.67021816
798,229,trans_M1,000473,2,1,13,6,0.6698636800000001,0.45937505850159044,0.6698636800000001
799,750,trans_M1,001492,2,0,8,13,0.6694,0.37904285325533854,0.6694
800,490,trans_M1,000975,2,3,6,10,0.6686,1.7484876908827336,0.6686
801,1746,trans_M2,001492,2,1,4,14,0.668,0.6469754011465739,0.668
802,245,trans_M1,000495,2,1,6,11,0.6660608,0.443777000485701,0.6660608
803,989,trans_M1,001979,2,1,8,4,0.6659402799999999,0.5508020848173163,0.6659402799999999
