candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
634,2516,trans_M3,001053,0,3,3,11,0.0,1.5810084640454303,0.7905042320227151
635,1834,trans_M2,001666,2,1,12,5,1.132148,0.44859816968943134,0.7903730848447157
636,1226,trans_M2,000475,4,1,10,6,0.5961462399999999,0.9841298101259377,0.7901380250629688
637,1869,trans_M2,001742,1,2,7,4,0.9092,0.670529336321043,0.7898646681605215
638,748,trans_M1,001489,2,1,3,15,0.7214,0.8553017863573804,0.7883508931786902
639,1515,trans_M2,001034,2,0,9,9,0.7468,0.8295574307578779,0.788178715378939
640,519,trans_M1,001034,2,0,13,10,0.7466,0.8295574307578779,0.788078715378939
641,2394,trans_M3,000812,1,2,10,3,0.4004,1.174367823913963,0.7873839119569814
642,970,trans_M1,001947,2,2,10,4,0.82608192,0.7484861119171978,0.787284015958599
643,822,trans_M1,001637,2,1,11,5,1.1228102,0.4486276194359943,0.7857189097179971
644,2810,trans_M3,001629,3,1,8,4,0.9373759199999999,0.6339464695006447,0.7856611947503223
645,1966,trans_M2,001947,2,2,11,4,0.8203855200000001,0.7484861119171978,0.7844358159585989
646,2395,trans_M3,000813,3,1,12,5,0.44109208000000005,1.1273858742847307,0.7842389771423653
647,2399,trans_M3,000819,3,1,11,2,0.23017552000000002,1.337618861221466,0.7838971906107329
648,403,trans_M1,000813,3,1,13,4,0.44040739999999995,1.1273858742847307,0.7838966371423653
649,2844,trans_M3,001699,3,0,8,4,1.1297804,0.4370437006492358,0.7834120503246179
650,1322,trans_M2,000658,5,0,18,0,0.47753967999999997,1.0860333035102734,0.7817864917551367
651,2849,trans_M3,001706,3,1,8,4,0.9220102800000001,0.6409056328097238,0.7814579564048619
652,1328,trans_M2,000664,6,0,16,0,0.70660432,0.8551686732102347,0.7808864966051173
653,1967,trans_M2,001948,2,2,9,4,0.8128958,0.7486738284184964,0.7807848142092482
654,319,trans_M1,000645,6,0,18,0,0.76948228,0.7879692417432975,0.7787257608716487
655,509,trans_M1,001015,1,2,7,16,0.6376,0.917759455156116,0.777679727578058
656,2856,trans_M3,001726,3,1,10,4,0.91814884,0.637172748080699,0.7776607940403495
657,1713,trans_M2,001423,3,0,6,15,0.6342584,0.9198972577485544,0.7770778288742772
658,897,trans_M1,001786,2,1,10,5,1.10701596,0.446301766915176,0.776658863457588
659,1301,trans_M2,000620,3,0,17,1,0.52071584,1.0318424711307634,0.7762791555653817
